11/08/2019 01:14:13 a.m. Estoy intentantdo guardar un usuario nulo de nombre: 
11/08/2019 02:37:40 p.m. 273) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 274) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 275) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 276) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 277) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 278) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 279) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 280) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 281) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 282) ConnID: -1. ConnidValida: False Name:  UserLogged: False
